Symbol,Name,Category
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Other
BHARATCOAL,Bharat Coking Coal Limited,Other
BHARATRAS,Bharat Rasayan Limited,Other
BHARATSE,Bharat Seats Limited,Other
BHARATWIRE,Bharat Wire Ropes Limited,Other
BI,Bilcare Limited,Other
BIGBLOC,Bigbloc Construction Limited,Other
BIL,Bhartiya International Limited,Other
BIMETAL,Bimetal Bearings Limited,Other
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,Other
BIRLACORPN,Birla Corporation Limited,Other
BIRLAMONEY,Aditya Birla Money Limited,Other
BIRLANU,BirlaNu Limited,Other
BIRLAPREC,Birla Precision Technologies Limited,Other
BLACKBUCK,BLACKBUCK LIMITED,Other
BLAL,BEML Land Assets Limited,Other
BLBLIMITED,BLB Limited,Other
BLIL,Balmer Lawrie Investments Limited,Other
BLKASHYAP,B. L. Kashyap and Sons Limited,Other
BLSE,BLS E-Services Limited,Other
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,Other
BLUSPRING,Bluspring Enterprises Limited,Other
BMWVENTLTD,BMW Ventures Limited,Other
BOHRAIND,Bohra Industries Limited,Other
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Other
BONLON,Bonlon Industries Limited,Other
BORANA,Borana Weaves Limited,Other
BOROLTD,Borosil Limited,Other
BORORENEW,BOROSIL RENEWABLES LIMITED,Other
BOROSCI,Borosil Scientific Limited,Other
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,Other
BPL,BPL Limited,Other
BRIGHOTEL,Brigade Hotel Ventures Limited,Other
BRNL,Bharat Road Network Limited,Other
BSL,BSL Limited,Other
BTML,Bodhi Tree Multimedia Limited,Other
BUILDPRO,Shankara Buildpro Limited,Other
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Other
BVCL,Barak Valley Cements Limited,Other
CAMLINFINE,Camlin Fine Sciences Limited,Other
CAMPUS,Campus Activewear Limited,Other
CANTABIL,Cantabil Retail India Limited,Other
CAPACITE,Capacit'e Infraprojects Limited,Other
CAPILLARY,Capillary Technologies India Limited,Other
CAPITALSFB,Capital Small Finance Bank Limited,Other
CARERATING,CARE Ratings Limited,Other
CARRARO,Carraro India Limited,Other
CARYSIL,CARYSIL LIMITED,Other
CCAVENUE,AvenuesAI Limited,Other
CCCL,Consolidated Construction Consortium Limited,Other
CCHHL,Country Club Hospitality & Holidays Limited,Other
CEIGALL,Ceigall India Limited,Other
CEINSYS,Ceinsys Tech Limited,Other
CELEBRITY,Celebrity Fashions Limited,Other
CELLO,Cello World Limited,Other
CENTENKA,Century Enka Limited,Other
CENTEXT,Century Extrusions Limited,Other
CENTRUM,Centrum Capital Limited,Other
CENTUM,Centum Electronics Limited,Other
CENTURYPLY,Century Plyboards (India) Limited,Other
CERA,Cera Sanitaryware Limited,Other
CEWATER,Concord Enviro Systems Limited,Other
CHEMPLASTS,Chemplast Sanmar Limited,Other
CHEVIOT,Cheviot Company Limited,Other
CIFL,Capital India Finance Limited,Other
CINELINE,Cineline India Limited,Other
CINEVISTA,Cinevista Limited,Other
CLEANMAX,Clean Max Enviro Energy Solutions Limited,Other
CLSEL,Chaman Lal Setia Exports Limited,Other
CMLL,Caliber Mining and Logistics Limited,Other
CMPDI,Central Mine Planning & Design Institute Limited,Other
CMRGREEN,CMR Green Technologies Limited,Other
CMSINFO,CMS Info Systems Limited,Other
CNL,Creative Newtech Limited,Other
COASTCORP,Coastal Corporation Limited,Other
COCKERILL,John Cockerill India Limited,Other
COMFINTE,Comfort Intech Limited,Other
COMPUSOFT,Compucom Software Limited,Other
COMSYN,Commercial Syn Bags Limited,Other
CONFIPET,Confidence Petroleum India Limited,Other
